text;grand_truth;calculated;dif;found phrases;out of
Every year more than $40 million are leaving Missouri for the Lone Star State.;0.5;-1;1.5;0;12
A college loan is the only loan in the United States that you cannot refinance when interest rates go down.;0.75;1.0;-0.25;3;18
The House of Representatives has never passed a resolution of disapproval to condemn a members behavior.;0.75;1.0;-0.25;2;14
We are younger than our competitors and this is entirely because of immigration.;0.75;-1;1.75;0;11
Recent international reports show the United States near the bottom among industrialized nations for k-12 academic achievement.;0.5;1.0;-0.5;1;15
Says 24 million people in this country cant find a full-time job 50 million cant see a doctor when theyre sick 47 million people need government help to feed themselves and 15 million families owe more than the value of their home.;1;0.4634772482231039;0.5365227517768961;2;40
The policy mistakes that ... the Clintons made got us in large degree to the situation that we are in today with mass incarceration.;0.5;-1;1.5;0;22
Says he raised average family income by 50 percent during his tenure as Arkansas governor.;0.25;-1;1.25;0;13
They tried to give us $400 million to build a high-speed train that goes 39 miles an hour.;0.5;-1;1.5;0;16
Says the CBO estimates that fully extending the Bush tax cuts would add 600000-1.4 million jobs in 2011 and 900000-2.7 million jobs in 2012.;0.5;1.0;-0.5;2;22
President Reagan did it raised the debt ceiling 18 times. George W. Bush did it seven times.;1;0.6302041295379296;0.3697958704620704;2;15
According to David Cay Johnston the average American pays about 22 percent of their income to federal taxes. The richest 400 Americans pay about 16 percent of their income to federal taxes.;0.5;0.7297876689450834;-0.2297876689450834;5;30
Most young Americans right now theyre not covered by health insurance.;0;-1;1.0;0;9
In 1952 the corporate income tax accounted for 33 percent of all federal tax revenue. Today despite record-breaking profits corporate taxes bring in less than 9 percent.;0.75;0.3707678532378603;0.3792321467621397;2;25
Over the last 10 years Texas created 33 percent of the net new jobs nationwide.;1;0.5419280852838317;0.45807191471616826;4;13
Says two-thirds of groups targeted for IRS scrutiny were not conservative.;0;-1;1.0;0;9
In the class of 1968 at Patrice Lumumba University in Moscow Mahmoud Abbas was one of the members of that class and so was Ali Khamenei. And thats where they first established relationships with the young Vladimir Putin.;0;0.48578270302889404;-0.48578270302889404;2;36
Last week the Texas State Board of Education SBOE led by Rick Perrys appointee voted to remove Thomas Jefferson from social studies textbook standards. Thats right. Thomas Jefferson... was deleted from a list of historical figures who inspired political change.;0.5;1.0;-0.5;1;38
As a U.S. senator with salary and perks ‪#Bernie‬ is in the top 1 percent but still paid only 13 percent in taxes last year.;0.25;1.0;-0.75;1;23
You know we cant just pull out now... The truth of the matter is: If we started today it would take one year one year to get 160000 troops physically out of Iraq logistically.;1;1.0;0.0;3;32
From 2013-2015 the richest 14 Americans increased their net wealth by more than $157 billion yet the Republican budget would not require these Americans to contribute one penny to deficit reduction.;0.5;1.0;-0.5;1;29
Says that while Foster was mayor Rick Kriseman was ineffective in the Florida House of Representatives because there was no legislation that passed the House that had Krisemans name on it.;0.5;0.1862206057549517;0.3137793942450483;4;29
Says Texas routinely gets a lot more federal spending than it pays in taxes.;0.75;-1;1.75;0;12
Cell phone numbers go public this month.;0;-1;1.0;0;5
Says it has offered $12 million in savings through 2011 and $184 million in savings over the next 25 years in contract negotiations with the City of Milwaukee.;0.25;0.422449817464257;-0.17244981746425703;2;26
Clackamas County Commissioners approved a re-negotiated agreement to lower the countys contribution to TriMets Portland-Milwaukie Light Rail project to $19.9 million from $25 million.;0;-1;1.0;0;22
Says Texas has 11 different felonies you can commit with an oyster.;0.75;-1;1.75;0;10
The Obama administration is unwinding our nations welfare-to-work requirements.;0;1.0;-1.0;2;7
Electric car sales in Georgia have dropped dramatically since a $5000 tax credit was eliminated and a $200 annual registration fee was imposed July 1.;1;1.0;0.0;1;23
The Redskins Training Camp deal generated $40 million in new private investment in the city.;0.5;-1;1.5;0;13
The GOP budget plan would cut nearly a million jobs.;0.5;-1;1.5;0;8
There are more people living in this country who were not born here than at anytime in the history of the country.;0.5;0.4152908646699328;0.08470913533006719;5;20
Says Hillary Clinton defended Syrias President Assad as a possible reformer at the start of that countrys civil war.;0.5;0.422449817464257;0.07755018253574297;2;17
The Postal Services financial losses result from a 2006 law that drains $5 billion a year from post office revenue while the Postal Service is forced to overpay billions more into federal accounts.;0.5;1.0;-0.5;1;31
As many as six federal department budget bills have been delayed because of opposition to amendments that would ban Confederate battle flag sales at federal building gift shops.;0.75;1.0;-0.25;1;26
Shes voted for 60 tax increases hurting the middle class and small businesses.;0;0.25394169805767786;-0.25394169805767786;2;11
Now in the House of Representatives we have 40 different jobs bills that have passed and almost all of them have been bipartisan.;0.25;0.4235674113971257;-0.17356741139712573;5;21
Sheila Jackson Lee of Texas said: Hey all you wrinkly white-aged has-beens: Its time for you to die and let the next generation have your spot on the planet.;0;-1;1.0;0;27
Republican small business tax cut bill spends $80 million for better Google searches not job creation;0.25;-1;1.25;0;14
A 2013 state law would allow the operator of an iron ore mine in northern Wisconsin to fill in pristine streams and ponds with mine waste.;0.75;0.23777944600804857;0.5122205539919514;3;24
America is one of the highest-taxed nations in the world.;0.25;1.0;-0.75;3;8
If black America were a country itd be the 15th wealthiest nation in the world.;0;0.480536378669263;-0.480536378669263;3;13
Since Republicans took over after the 2010 election the graduation rate in Wisconsin has gone from 86 percent to 88 percent. The black graduation rate has gone from 60 percent to 65 percent. The Latino graduation rate has gone from 65 percent to 71 percent.;0.5;1.0;-0.5;1;43
It has been estimated that nearly 40 percent of all guns sold in America are sold by private unlicensed sellers either online or through gun shows.;0.25;0.4397680695818508;-0.18976806958185077;2;24
2008 was the deadliest year of the war in Afghanistan for American forces.;1;-1;2.0;0;11
Florida teachers are already paid $5000 below the national average.;0.75;-1;1.75;0;8
Since Rick Perry became governor Texas has gone from 46th in the country to 50th in the population that graduates from high school.;0.5;1.0;-0.5;1;21
Says Amanda Fritz manages less than 5 percent of city operations.;1;1.0;0.0;1;9
The streetcar project planned by Mayor Tom Barrett would be a 1900s style trolley.;0.5;1.0;-0.5;1;12
Americans in the last 30 years have more than doubled the amount of money we are spending per child on education and the results have gotten worse not better.;0.5;0.16176601724335682;0.3382339827566432;3;27
Polls show that Floridians dont want to repeal the Affordable Care Act.;0.25;1.0;-0.75;1;10
Says Congressman Bill Pascrell voted to remove the public option from the Affordable Health Care Act.;0;-1;1.0;0;14
Lawmakers were paid for their off-season efforts to for the first time take the lead in drawing borders for two would-be cities.;1;0.4935113587995832;0.5064886412004168;3;20
Greg Abbott and his surrogates have referred to women who have been the victims of rape or incest as though somehow what they are confronting is a minor issue.;0;-1;1.0;0;27
On offshore drilling for energy;1;-1;2.0;0;3
Under a proposed medical marijuana amendment in Florida you dont get refills -- you get it forever.;0.25;-1;1.25;0;15
A data-storing microchip would be implanted in the majority of people who opt to become covered by the public health care option.;0;1.0;-1.0;1;20
Enacting the Right-to-Carry Act would amount to expanding the rights of sex offenders terrorists child predators and abusers to carry concealed weapons across state lines.;0.5;0.4397680695818508;0.06023193041814923;2;23
I havent missed a vote since 1993.;1;-1;2.0;0;5
Says the treasurers office has saved $37 million in management costs for the oversight of public investments.;0.25;-1;1.25;0;15
Says Georgia will send more state money per child to state charter schools and that budget cuts are not applied to those charter schools.;0.75;-1;1.75;0;22
Jorge Elorza wants to impose a municipal income tax.;0;-1;1.0;0;7
